CD_ENTIDADE,NM_ENTIDADE,TP_ENTIDADE,DC_TIPO_ENTIDADE,TX_ACERTO,DC_HABILIDADE,CD_HABILIDADE,VL_FILTRO_DISCIPLINA,VL_FILTRO_ETAPA,VL_FILTRO_REDE,VL_FILTRO_AVALIACAO,DC_FILTRO_AVALIACAO,NM_REGIONAL
00001,MARACANAU,02,REGIONAL,71,Corresponder figuras tridimensionais às suas planificações.,H 07 (D145_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00003,ACARAU,02,REGIONAL,71,Reconhecer o assunto de um texto lido.,H 11 (D028_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ACARAU
00007,CANINDE,02,REGIONAL,30,Utilizar perímetro de figuras bidimensionais na resolução de problema.,H 15 (D195_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00001,MARACANAU,02,REGIONAL,52,Utilizar a relação entre litro e decímetro cúbico ou litro e metro cúbico na resolução de problema.,H 17 (D182_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),MARACANAU
00006,SOBRAL,02,REGIONAL,81,Comparar ou ordenar quantidades pela contagem.,H 10 (D214_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00004,CAMOCIM,02,REGIONAL,69,Localizar informação explícita.,H 09 (D021_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00004,CAMOCIM,02,REGIONAL,63,"Reconhecer as relações entre partes de um texto, identificando os recursos coesivos que contribuem para a sua continuidade.",H 09 (D037_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00006,SOBRAL,02,REGIONAL,76,Corresponder figuras tridimensionais às suas planificações.,H 07 (D145_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00005,TIANGUA,02,REGIONAL,60,"Utilizar números naturais, envolvendo diferentes significados das operações de adição e subtração, na resolução de problemas.",H 07 (D031_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,MUNICIPAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),TIANGUA
00003,ACARAU,02,REGIONAL,56,Inferir informações em textos.,H 04 (D023_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 4º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00008,BATURITE,02,REGIONAL,57,Reconhecer características do sistema de numeração decimal.,H 01 (D009_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
